b1	b2	dstep	result
0.3	0.0	0.05	1
0.3	0.0	0.1	1
0.3	0.0	0.15	1
0.3	0.0	0.2	1
0.3	0.0	0.25	1
0.3	0.0	0.3	1
0.3	0.0	0.35	1
0.3	0.0	0.4	1
0.3	0.0	0.45	1
0.3	0.0	0.5	1
0.3	0.0	0.55	1
0.3	0.0	0.6	1
0.3	0.161	0.05	1
0.3	0.161	0.1	1
0.3	0.161	0.15	1
0.3	0.161	0.2	1
0.3	0.161	0.25	1
0.3	0.161	0.3	1
0.3	0.161	0.35	1
0.3	0.161	0.4	1
0.3	0.161	0.45	1
0.3	0.161	0.5	1
0.3	0.161	0.55	1
0.3	0.161	0.6	1
0.3	0.235	0.05	1
0.3	0.235	0.1	1
0.3	0.235	0.15	1
0.3	0.235	0.2	1
0.3	0.235	0.25	1
0.3	0.235	0.3	1
0.3	0.235	0.35	1
0.3	0.235	0.4	1
0.3	0.235	0.45	1
0.3	0.235	0.5	1
0.3	0.235	0.55	1
0.3	0.235	0.6	1
0.3	0.27	0.05	1
0.3	0.27	0.1	1
0.3	0.27	0.15	1
0.3	0.27	0.2	1
0.3	0.27	0.25	1
0.3	0.27	0.3	1
0.3	0.27	0.35	1
0.3	0.27	0.4	2
0.3	0.27	0.45	2
0.3	0.27	0.5	2
0.3	0.27	0.55	2
0.3	0.27	0.6	1
0.3	0.2861	0.05	1
0.3	0.2861	0.1	1
0.3	0.2861	0.15	1
0.3	0.2861	0.2	1
0.3	0.2861	0.25	1
0.3	0.2861	0.3	1
0.3	0.2861	0.35	1
0.3	0.2861	0.4	2
0.3	0.2861	0.45	2
0.3	0.2861	0.5	2
0.3	0.2861	0.55	2
0.3	0.2861	0.6	2
0.3	0.2935	0.05	1
0.3	0.2935	0.1	1
0.3	0.2935	0.15	1
0.3	0.2935	0.2	1
0.3	0.2935	0.25	1
0.3	0.2935	0.3	2
0.3	0.2935	0.35	2
0.3	0.2935	0.4	2
0.3	0.2935	0.45	2
0.3	0.2935	0.5	2
0.3	0.2935	0.55	2
0.3	0.2935	0.6	2
